sample_id,gtseq_chr28_geno,pop_structure_id,cv_fall,cv_late_fall,cv_spring,cv_winter,tributary,butte_fall,fr_hfall,fr_hsp,mill_deer_fall,san_joaquin_fall,butte_sp,mill_deer_sp,coleman_lf,sac_win,reason_not_added
DER23_3_XTRA_2,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0.001,0,0,0.038,0.961,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_3,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0,1,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_4,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0.017,0.983,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_5,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_6,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0.003,0.997,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_7,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_8,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0,1,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_9,EARLY,SPRING,0.85,0,0.15,0,Feather River Spring,0,0.375,0.469,0.001,0.001,0,0.154,0,0,NONSTANDARD SAMPLE ID
DER23_4_XTRA_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DER23_8_A_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DER23_9_A_1a,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
DER23_9_A_1b,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
F1723_3_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6123_11_A_29a,LATE,FALL,1,0,0,0,NA,0.001,0.998,0,0,0,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_11_A_29b,LATE,FALL,1,0,0,0,NA,0.004,0.995,0,0.001,0,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_11_A_40a,LATE,FALL,1,0,0,0,NA,0.052,0.771,0,0.007,0.17,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_11_A_40b,LATE,FALL,1,0,0,0,NA,0.024,0.703,0,0.011,0.261,0,0,0.001,0,NONSTANDARD SAMPLE ID
F6123_11_A_72a,LATE,FALL,1,0,0,0,NA,0,0.453,0.029,0,0.516,0,0,0.001,0,NONSTANDARD SAMPLE ID
F6123_11_A_72b,LATE,FALL,0.99,0.01,0,0,NA,0,0.495,0.069,0,0.431,0,0,0.005,0,NONSTANDARD SAMPLE ID
F6123_11_A_72c,LATE,FALL,1,0,0,0,NA,0,0.878,0.039,0,0.08,0,0,0.002,0,NONSTANDARD SAMPLE ID
F6123_2_A_1_a,EARLY,SPRING,1,0,0,0,Feather River Spring,0.003,0.231,0.758,0.008,0.001,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_3_A_34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6123_5_A_27_a,HETEROZYGOTE,FALL,1,0,0,0,NA,0.586,0.106,0,0.137,0.17,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_5_A_7_a,EARLY,SPRING,1,0,0,0,Feather River Spring,0,0.563,0.387,0,0.049,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_6_A_102_a,HETEROZYGOTE,FALL,1,0,0,0,NA,0.342,0.504,0.148,0,0.001,0,0,0.004,0,NONSTANDARD SAMPLE ID
F6123_6_A_2,EARLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6123_7_A_58a,HETEROZYGOTE,FALL,1,0,0,0,NA,0.042,0.895,0.054,0.009,0,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_7_A_58b,HETEROZYGOTE,FALL,1,0,0,0,NA,0.042,0.894,0.056,0.008,0,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_7_A_77a,LATE,FALL,1,0,0,0,NA,0,0.869,0.131,0,0,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_7_A_77b,LATE,FALL,1,0,0,0,NA,0,0.855,0.145,0,0,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_8_A_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6123_8_A_28,NA,FALL,0.81,0.19,0,0,NA,0.015,0.031,0.005,0.058,0.703,0,0,0.188,0,CASE 1
F6123_8_A_34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6123_8_A_59a,LATE,FALL,1,0,0,0,NA,0.001,0.984,0,0,0.015,0,0,0,0,NONSTANDARD SAMPLE ID
F6123_8_A_59b,HETEROZYGOTE,FALL,1,0,0,0,NA,0.013,0.969,0.002,0,0.011,0,0,0.005,0,NONSTANDARD SAMPLE ID
F6123_9_A_36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6123_9_A_84a,LATE,FALL,1,0,0,0,NA,0.002,0.586,0.006,0.134,0.272,0,0,0,0,NONSTANDARD SAMPLE ID
