SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
DEL25_11_C_9	LATE	FALL	0.99	0.01	0	0		0.12	0.772	0.006	0.018	0.074	0	0	0.01	0
DEL25_11_D_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.144	0.854	0	0.003	0	0	0	0
DEL25_11_D_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.865	0.134	0	0	0	0	0	0
DEL25_11_D_3	HETEROZYGOTE	FALL	1	0	0	0		0.92	0.008	0	0.072	0	0	0	0	0
DEL25_11_D_5	HETEROZYGOTE	FALL	1	0	0	0		0.218	0.689	0.091	0.001	0	0	0	0	0
DEL25_11_X_3	HETEROZYGOTE	FALL	1	0	0	0		0.005	0.865	0.068	0.016	0.046	0	0	0	0
DEL25_11_X_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.106	0.894	0	0	0	0	0	0
DEL25_11_X_5	HETEROZYGOTE	FALL	1	0	0	0		0.339	0.644	0.003	0	0.014	0	0	0	0
DEL25_12_B_1	HETEROZYGOTE	FALL	1	0	0	0		0.003	0.775	0.161	0.02	0.041	0	0	0	0
DEL25_12_B_10	LATE	FALL	1	0	0	0		0.018	0.95	0.011	0	0.021	0	0	0	0
DEL25_12_B_11	LATE	FALL	1	0	0	0		0.004	0.219	0	0	0.776	0	0	0	0
DEL25_12_B_13	HETEROZYGOTE	FALL	1	0	0	0		0.248	0.337	0.009	0.078	0.328	0	0	0	0
DEL25_12_B_15	HETEROZYGOTE	FALL	1	0	0	0		0.045	0.618	0.064	0.062	0.212	0	0	0	0
DEL25_12_B_2	LATE	FALL	1	0	0	0		0.465	0.44	0.011	0	0.084	0	0	0.001	0
DEL25_12_B_6	LATE	FALL	1	0	0	0		0.096	0.846	0	0.053	0.004	0	0	0	0
DEL25_12_B_7	EARLY	SPRING	1	0	0	0	Feather River Spring	0.012	0.074	0.914	0	0	0	0	0	0
DEL25_12_B_8	EARLY	SPRING	1	0	0	0	Feather River Spring	0.029	0.965	0.003	0.002	0	0	0	0	0
DEL25_12_B_9	HETEROZYGOTE	FALL	1	0	0	0		0.04	0.19	0	0.424	0.345	0	0	0	0
DEL25_12_C_11	HETEROZYGOTE	FALL	1	0	0	0		0.006	0.243	0.074	0.117	0.558	0	0	0.002	0
DEL25_12_C_12	EARLY	SPRING	1	0	0	0	Feather River Spring	0.019	0.235	0.488	0.006	0.252	0	0	0	0
DEL25_12_C_13		FALL	1	0	0	0		0	0.05	0.135	0.815	0	0	0	0	0
DEL25_12_C_14																
DEL25_12_C_15	LATE	FALL	1	0	0	0		0.077	0.914	0	0.007	0.001	0	0	0	0
DEL25_12_C_2	HETEROZYGOTE	FALL	1	0	0	0		0.002	0.065	0	0.385	0.548	0	0	0	0
DEL25_12_C_3	LATE	FALL	1	0	0	0		0	0.107	0.01	0.633	0.25	0	0	0	0
DEL25_12_C_4	HETEROZYGOTE	FALL	1	0	0	0		0.006	0.479	0.12	0.393	0.001	0	0	0	0
DEL25_12_C_5	LATE	FALL	1	0	0	0		0.055	0.338	0	0.456	0.151	0	0	0	0
DEL25_12_C_6	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.764	0.236	0	0	0	0	0	0
DEL25_12_C_8	HETEROZYGOTE	FALL	1	0	0	0		0.006	0.005	0	0.002	0.988	0	0	0	0
DEL25_12_C_9	EARLY	SPRING	0.99	0	0.01	0	Feather River Spring	0.126	0.743	0.102	0.017	0.004	0	0.009	0	0
DEL25_12_D_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.992	0.003	0	0.002	0.003	0	0	0	0
DEL25_12_D_2	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.013	0	0.083	0.903	0	0	0	0
DEL25_12_D_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.964	0.027	0.009	0	0	0	0	0
DEL25_12_D_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0.01	0.065	0.915	0.005	0.005	0	0	0	0
DEL25_12_D_5	HETEROZYGOTE	FALL	1	0	0	0		0.216	0.51	0.025	0.001	0.246	0	0	0	0
DEL25_12_X_1	HETEROZYGOTE	FALL	1	0	0	0		0.99	0.002	0.001	0	0.007	0	0	0	0
DEL25_12_X_4	HETEROZYGOTE	FALL	0.98	0.02	0	0		0.016	0.302	0.013	0.081	0.567	0	0	0.021	0
DEL25_12_X_5	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.961	0	0.007	0.031	0	0	0	0
DEL25_13_C_10	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.065	0.935	0	0	0	0	0	0
DEL25_13_C_6	HETEROZYGOTE	FALL	1	0	0	0		0	0.339	0.001	0.007	0.652	0	0	0.001	0
DEL25_13_C_7	EARLY	SPRING	1	0	0	0	Feather River Spring	0.258	0.316	0.014	0.091	0.316	0.002	0.001	0.002	0
DEL25_13_C_9	HETEROZYGOTE	FALL	1	0	0	0		0.188	0.734	0.051	0.016	0.011	0	0	0	0
DEL25_13_D_1	HETEROZYGOTE	FALL	0.96	0	0.04	0		0.011	0.937	0.007	0.001	0.002	0.03	0.013	0	0
DEL25_13_D_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.004	0.994	0	0.002	0	0	0	0	0
DEL25_13_D_4	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.92	0.073	0.002	0.004	0	0	0	0
